id,classtype,name,ptid,place_type,pop_den_gross,pop_den_net,res_den_gross,res_den_net,res_den_use,res_den_use_acres,gross_detsf_ll_dens,gross_detsf_sl_dens,gross_attsf_dens,gross_mf_dens,net_detsf_ll_dens,net_detsf_sl_dens,net_attsf_dens,net_mf_dens,emp_den_gross,emp_den_net,emp_den_use,emp_use_acres,gross_ret_emp,gross_off_emp,gross_ind_emp,gross_ret_sqft,gross_off_sqft,gross_ind_sqft,net_ret_emp,net_off_emp,net_ind_emp,net_ret_sqft,net_off_sqft,net_ind_sqft,intersections_sqmi,intersections_ac,ind_off_perc_tot_jobs,parcel_sq_ft_ac,land_perc_mixed_use,land_perc_res,land_perc_emp,gross_bldg_sqft_detsf,gross_bldg_sqft_detsf_sl,gross_bldg_sqft_detsf_ll,gross_bldg_sqft_attsf,gross_bldg_sqft_mf,net_bldg_sqft_detsf,net_bldg_sqft_detsf_sl,net_bldg_sqft_detsf_ll,net_bldg_sqft_attsf,net_bldg_sqft_mf,gross_hh_ac,net_hh_ac,occupancy_rate,acres_parcel_res,acres_parcel_res_detsf,acres_detsf_sl_dens,acres_detsf_ll_dens,acres_attsf_dens,acres_mf_dens,acres_parcel_emp,acres_emp_off_dens,acres_emp_ret_dens,acres_emp_ind_dens,acres_parcel_emp_ag_dens,acres_parcel_emp_mixed_dens,acres_parcel_mixed_dens,acres_parcel_mixed_w_off_dens,acres_parcel_mixed_no_off_dens,acres_developable_dens,colorhex,color_r,color_g,color_b,res_electric_use_mwh_ac,comm_electric_use_mwh_ac,total_electric_use_mwh_ac,res_gas_use_therms_ac,comm_gas_use_therms_ac,total_gas_use_therms_ac,indoor_water_use_af_ac,outdoor_water_use_af_ac,total_water_use_af_ac,ghg_electric_mt_ac,ghg_gas_mt_ac,ghg_res_mt_ac,ghg_conm_mt_ac,ghg_total_mt_ac,ghg_per_resident,ghg_per_employee,res_com_area_sqft_gross,sm_office_sqft_gross,lg_office_sqft_gross,restaurant_sqft_gross,retail_sqft_gross,grocery_sqft_gross,school_sqft_gross,college_sqft_gross,health_sqft_gross,lodging_sqft_gross,misc_sqft_gross,industrial_sqft_gross,warehouse_sqft_gross,emp_ind_non_warehouse_gross,res_com_area_sqft_net,sm_office_sqft_net,lg_office_sqft_net,restaurant_sqft_net,retail_sqft_net,grocery_sqft_net,school_sqft_net,college_sqft_net,health_sqft_net,lodging_sqft_net,misc_sqft_net,industrial_sqft_net,warehouse_sqft_net,emp_ind_non_warehouse_net,res_irrigated_sqft_gross,com_irrigated_sqft_gross,res_irrigated_sqft_net,com_irrigated_sqft_net,emp_educ_gross,emp_educ_net
11,Mixed Use Centers & Corridors,Village Residential,11,Village Residential,26.3,42.28,10.38,16.69,19.16,0.54,0,2.48,7.07,0.65,0,3.99,11.37,1.04,3.75,6.03,38.96,0.1,1.29,2.46,0,646.05,2421.94,0,2.08,3.95,0,1038.53,3893.31,0,180,0.32,1.05,31889.27,0.02,0.53,0,5558.96,5558.96,0,13432.89,699.89,8936.13,8936.13,0,21593.62,1125.08,9.97,16.03,0.96,0.53,0.24,0.24,0,0.28,0,0.08,0.08,0,0,0,0,0.02,0,0.02,0.62,#FF901A,255,144,26,52.94,49.38,102.32,3984.19,1746.27,5730.46,2.33,0.88,3.21,37.69,30.31,40.57,27.43,68,4.07,7.31,104.98,646.05,0,45.22,219.66,45.22,1132.56,0,1289.38,0,335.95,0,0,0,168.76,1038.53,0,72.7,353.1,72.7,1820.61,0,2072.7,0,540.04,0,0,0,4011.72,470.45,6448.91,756.25,0.39,0.63
12,Mixed Use Centers & Corridors,Village Commercial,12,Village Commercial,5.72,10.03,2.84,4.99,33.85,0.06,0,0,0,2.84,0,0,0,4.99,48.61,85.25,85.25,0.57,31.96,16.65,0,17726.69,7709.01,0,56.04,29.2,0,31088.55,13519.84,0,230,0.3,0.6,29629.5,0.06,0,0.5,0,0,0,0,3134.23,0,0,0,0,5496.73,2.66,4.67,0.94,0,0,0,0,0,0,0.49,0.01,0,0,0,0.48,0.08,0,0.08,0.57,#DC41B8,220,65,184,13.12,511.45,524.57,628.37,9712.46,10340.82,3.44,0.05,3.49,193.21,54.7,8.16,239.75,247.91,3.06,4.93,470.13,17688.62,0,1238.2,6014.13,1238.2,0,0,1289.38,38.07,9198.08,0,0,0,824.51,31021.79,0,2171.53,10547.41,2171.53,0,0,2261.27,66.76,16131.33,0,0,0,86.93,970.84,152.46,1702.63,0,0
13,Mixed Use Centers & Corridors,Neighborhood Residential,13,Neighborhood Residential,15.81,24.78,6.03,9.45,10.43,0.58,0.66,4.48,0,0.46,1.04,7.02,0,0.72,3.27,5.13,45.72,0.07,0.92,2.35,0,459.23,2160.58,0,1.44,3.69,0,719.81,3386.53,0,180,0.33,1.13,32582.5,0.01,0.57,0,12580.59,9896.29,2684.29,0,497.5,19719.06,15511.65,4207.41,0,779.8,5.83,9.14,0.97,0.57,0.57,0.45,0.12,0,0,0.06,0.06,0,0,0,0,0.01,0,0.01,0.64,#FFA733,255,167,51,33.6,42.46,76.06,2292.72,1598.87,3891.59,1.43,1.74,3.17,28.01,20.59,24.5,24.1,48.6,4.2,7.36,74.63,459.23,0,32.15,156.14,32.15,871.2,0,1289.38,0,238.8,0,0,0,116.97,719.81,0,50.39,244.74,50.39,1365.54,0,2020.99,0,374.3,0,0,0,6413.03,352.84,10051.9,553.04,0.29,0.46
14,Mixed Use Centers & Corridors,Neighborhood Low,14,Neighborhood Low,11.78,18.46,4.42,6.93,7.65,0.58,1.65,2.5,0,0,2.59,3.93,0,0,2.35,3.69,39.22,0.06,0,2.35,0,0,2160.58,0,0,3.69,0,0,3386.53,0,230,0.33,1.57,32582.5,0,0.58,0,12721.93,6011.2,6710.73,0,0,19940.61,9422.07,10518.53,0,0,4.28,6.71,0.97,0.58,0.58,0.29,0.29,0,0,0.06,0.06,0,0,0,0,0,0,0,0.64,#FFBA42,255,186,66,23.47,29.81,53.27,1501.86,1377.89,2879.75,1.04,2.34,3.38,19.62,15.23,16.59,18.27,34.86,3.87,7.76,0,0,0,0,0,0,871.2,0,1289.38,0,0,0,0,0,0,0,0,0,0,0,1365.54,0,2020.99,0,0,0,0,0,6359.52,352.84,9968.04,553.04,0.29,0.46
15,Employment Areas,Office Focus,15,Office Focus,1.19,1.7,0.71,1.02,21.95,0,0,0,0,0.71,0,0,0,1.02,48.38,69.22,69.22,0.7,3.45,44.84,0.08,7036.64,17684.27,84.8,4.94,64.16,0.12,10068.21,25303.11,121.33,45,0.07,1.33,34364.35,0,0,0.65,0,0,0,0,837.8,0,0,0,0,1198.75,0.67,0.95,0.94,0,0,0,0,0,0,0.67,0.05,0,0,0,0.62,0.03,0,0.03,0.7,#8764A6,134,100,166,3.32,392.92,396.24,157.59,10486.21,10643.8,1.99,0.05,2.05,145.94,56.31,2.06,200.19,202.25,3.09,4.14,125.67,0,11020.9,440.01,2137.2,440.01,0,0,6446.88,44.09,3268.67,84.8,0,0.08,179.81,0,15768.98,629.58,3057.97,629.58,0,0,9224.36,63.09,4676.89,121.33,0,0.12,100.7,1970.95,144.08,2820.08,0,0
16,Employment Areas,Mixed Office and R&D,16,Mixed Office and R&D,1.79,2.56,1.07,1.54,21.95,0,0,0,0,1.07,0,0,0,1.54,26.63,38.1,38.1,0.7,1.48,21.84,3.31,5910.67,7535.17,2872.39,2.11,31.25,4.73,8457.13,10781.51,4109.89,45,0.07,1.35,34364.35,0,0,0.7,0,0,0,0,1263.3,0,0,0,0,1807.57,1,1.44,0.94,0,0,0,0,0,0,0.65,0,0.03,0,0,0.62,0.05,0,0.05,0.7,#A981D5,169,129,213,5,195.93,200.93,237.62,3328.59,3566.22,2.18,0,2.18,74.01,18.87,3.1,89.77,92.87,3.09,3.37,189.5,0,7384.61,355.82,1728.25,355.82,0,0,0,66.49,2643.2,2872.39,0,3.31,271.13,0,10566.09,509.11,2472.82,509.11,0,0,0,95.14,3781.96,4109.89,0,4.73,151.84,-613.67,217.26,-878.06,0,0
17,Employment Areas,Office/Industrial,17,Office/Industrial,1.38,1.83,0.83,1.1,21.95,0,0,0,0,0.83,0,0,0,1.1,18.48,24.43,24.43,0.76,1.2,7.63,9.65,909.83,2540.24,11136.4,1.58,10.09,12.76,1202.78,3358.12,14721.99,40,0.06,1.24,36000,0,0,0.76,0,0,0,0,976.66,0,0,0,0,1291.12,0.78,1.03,0.94,0,0,0,0,0,0,0.72,0,0.05,0.33,0,0.34,0.04,0,0.04,0.76,#CF9DEC,207,157,236,3.87,43.29,47.16,183.71,717.85,901.56,3.81,0.03,3.84,17.37,4.77,2.4,19.74,22.14,3.09,1.07,146.5,0,1832.33,60.09,291.87,60.09,0,0,0,51.4,446.38,6878.97,4257.42,5.82,193.67,0,2422.28,79.44,385.84,79.44,0,0,0,67.95,590.11,9093.8,5628.19,7.7,117.39,633.05,155.18,836.87,0,0
18,Employment Areas,Low-Density Employment Park,18,Industrial Focus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,16.63,16.63,0.75,1.59,2.39,8.41,1192.94,858.11,10221.76,2.13,3.2,11.29,1600.5,1151.27,13713.92,35,0.06,1.17,36388.14,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.15,0.41,0,0.19,0,0,0,0.75,#E6CCFF,230,204,255,0,23.44,23.44,0,454.77,454.77,3.11,0.02,3.13,8.63,2.41,0,11.04,11.04,0,0.89,0,0,397.73,83.51,405.6,83.51,0,0,0,0,620.33,7327.97,2893.79,5.78,0,0,533.61,112.03,544.17,112.03,0,0,0,0,832.26,9831.49,3882.43,7.76,0,719.57,0,965.4,0,0
19,Employment Areas,Low-Density Employment Park,19,Low-Density Employment Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,10.86,10.86,0.56,0.31,1.7,4.07,235.35,711.16,5918.3,0.56,3.04,7.26,420.27,1269.93,10568.4,35,0.09,1.69,33608.66,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.03,0.34,0.08,0.11,0,0,0,0.56,#EEE5FF,238,229,255,0,13.33,13.33,0,214.32,214.32,1.49,0.07,1.56,4.91,1.13,0,6.04,6.04,2.67,0.99,0,0,597.64,16.47,80.02,16.47,0,0,0,0,122.38,4838.67,1079.64,3.38,0,0,1067.22,29.42,142.89,29.42,0,0,0,0,218.54,8640.48,1927.92,6.04,19.8,3132.16,35.36,5593.14,0,0
20,Suburban,High Intensity Activity Center,20,High Intensity Activity Center,57,82.3,28.46,41.09,63.21,0.42,0,0,1.39,27.07,0,0,2,39.09,81.66,117.9,138.71,0.59,58.37,23.28,0,32400.5,9508.01,0,84.28,33.62,0,46783,13728.59,0,130,0.12,0.41,32781.95,0.31,0.1,0.28,0,0,0,2318.44,30204.4,0,0,0,3347.59,43612.06,26.77,38.66,0.94,0.1,0,0,0,0.07,0.03,0.24,0,0,0,0,0.24,0.35,0.31,0.03,0.69,#F679AB,246,121,171,130.41,672.66,803.08,6515.2,14682.11,21197.31,9.9,0.32,10.22,295.79,112.13,82.5,325.42,407.92,3.08,3.99,4116.24,13270.18,0,1968.97,9563.55,1968.97,0,0,0,10056.05,14626.61,0,0,0,5943.43,19160.78,0,2842.99,13808.79,2842.99,0,0,0,14519.91,21119.32,0,0,0,2295.29,750.6,3314.17,1083.79,0,0
