id,classtype,name,ptid,place_type,pop_den_gross,pop_den_net,res_den_gross,res_den_net,res_den_use,res_den_use_acres,gross_detsf_ll_dens,gross_detsf_sl_dens,gross_attsf_dens,gross_mf_dens,net_detsf_ll_dens,net_detsf_sl_dens,net_attsf_dens,net_mf_dens,emp_den_gross,emp_den_net,emp_den_use,emp_use_acres,gross_ret_emp,gross_off_emp,gross_ind_emp,gross_ret_sqft,gross_off_sqft,gross_ind_sqft,net_ret_emp,net_off_emp,net_ind_emp,net_ret_sqft,net_off_sqft,net_ind_sqft,intersections_sqmi,intersections_ac,ind_off_perc_tot_jobs,parcel_sq_ft_ac,land_perc_mixed_use,land_perc_res,land_perc_emp,gross_bldg_sqft_detsf,gross_bldg_sqft_detsf_sl,gross_bldg_sqft_detsf_ll,gross_bldg_sqft_attsf,gross_bldg_sqft_mf,net_bldg_sqft_detsf,net_bldg_sqft_detsf_sl,net_bldg_sqft_detsf_ll,net_bldg_sqft_attsf,net_bldg_sqft_mf,gross_hh_ac,net_hh_ac,occupancy_rate,acres_parcel_res,acres_parcel_res_detsf,acres_detsf_sl_dens,acres_detsf_ll_dens,acres_attsf_dens,acres_mf_dens,acres_parcel_emp,acres_emp_off_dens,acres_emp_ret_dens,acres_emp_ind_dens,acres_parcel_emp_ag_dens,acres_parcel_emp_mixed_dens,acres_parcel_mixed_dens,acres_parcel_mixed_w_off_dens,acres_parcel_mixed_no_off_dens,acres_developable_dens,colorhex,color_r,color_g,color_b,res_electric_use_mwh_ac,comm_electric_use_mwh_ac,total_electric_use_mwh_ac,res_gas_use_therms_ac,comm_gas_use_therms_ac,total_gas_use_therms_ac,indoor_water_use_af_ac,outdoor_water_use_af_ac,total_water_use_af_ac,ghg_electric_mt_ac,ghg_gas_mt_ac,ghg_res_mt_ac,ghg_conm_mt_ac,ghg_total_mt_ac,ghg_per_resident,ghg_per_employee,res_com_area_sqft_gross,sm_office_sqft_gross,lg_office_sqft_gross,restaurant_sqft_gross,retail_sqft_gross,grocery_sqft_gross,school_sqft_gross,college_sqft_gross,health_sqft_gross,lodging_sqft_gross,misc_sqft_gross,industrial_sqft_gross,warehouse_sqft_gross,emp_ind_non_warehouse_gross,res_com_area_sqft_net,sm_office_sqft_net,lg_office_sqft_net,restaurant_sqft_net,retail_sqft_net,grocery_sqft_net,school_sqft_net,college_sqft_net,health_sqft_net,lodging_sqft_net,misc_sqft_net,industrial_sqft_net,warehouse_sqft_net,emp_ind_non_warehouse_net,res_irrigated_sqft_gross,com_irrigated_sqft_gross,res_irrigated_sqft_net,com_irrigated_sqft_net,emp_educ_gross,emp_educ_net
21,Suburban,Mid Intensity Activity Center,21,Mid Intensity Activity Center,15.86,22.9,7.03,10.14,28.98,0.21,0,0,3.35,3.67,0,0,4.84,5.3,43.82,63.28,84.37,0.52,35.89,7.94,0,28795.49,4161.39,0,51.82,11.46,0,41577.74,6008.62,0,70,0.12,0.26,32781.95,0.03,0.17,0.48,0,0,0,5388.52,3856.72,0,0,0,7780.47,5568.71,6.65,9.61,0.95,0.17,0,0,0,0.14,0.03,0.45,0,0.31,0,0,0.14,0.07,0,0.07,0.69,#FF9B99,255,155,153,32.73,401.84,434.57,2077.42,8470.2,10547.61,4.25,0.1,4.35,160.06,55.8,23.05,192.81,215.86,3.46,4.4,579.02,1375.68,0,1906.8,9261.6,1906.8,0,0,0,47.06,14164.81,0,0,0,836.04,1986.34,0,2753.22,13372.81,2753.22,0,0,0,67.95,20452.53,0,0,0,2118.21,1122.89,3058.47,1621.34,0,0
22,Suburban,Low Intensity Retail-Centered N'Hood,22,Low Intensity Retail-Centered N'Hood,10.15,13.67,4.05,5.46,10.86,0.36,0.36,2,0.48,0.82,0.48,2.69,0.64,1.11,3.48,4.68,9.12,0.38,3.03,0.44,0,2290.18,1146.69,0,4.09,0.6,0,3086.66,1545.49,0,65,0.1,0.17,34933.39,0,0.36,0.26,6239.02,4794.78,1444.25,759.62,850.06,8408.84,6462.31,1946.53,1023.8,1145.69,3.89,5.25,0.96,0.36,0.33,0.27,0.06,0.02,0.01,0.37,0.12,0.22,0,0,0.03,0.01,0,0.01,0.74,#FFB0AD,255,176,173,20.12,39.54,59.66,1250.16,930.71,2180.88,1.07,1.17,2.24,21.97,11.54,14.02,19.49,33.51,3.6,5.61,127.6,0,0,159.13,772.91,159.13,1089,0,0,16.91,1182.1,0,0,0,171.98,0,0,214.47,1041.72,214.47,1467.73,0,0,22.79,1593.22,0,0,0,4395.79,1514.77,5924.56,2041.57,0.33,0.44
23,Suburban,Retail: Strip Mall/ Big Box,23,Retail: Strip Mall/ Big Box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22,21.23,21.23,0.76,14.91,1.32,0,11303.61,653,0,19.51,1.72,0,14792.61,854.55,0,60,0.09,0.11,35899.51,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0.38,0,0,0.38,0,0,0,0.76,#FFCCCC,255,204,204,0,158.86,158.86,0,3404.65,3404.65,1.15,0.06,1.2,58.51,18.01,0,76.52,76.52,0,4.72,0,0,0,791.25,3843.23,791.25,0,0,0,0,5877.88,0,0,0,0,0,0,1035.48,5029.49,1035.48,0,0,0,0,7692.16,0,0,0,0,2426.22,0,3175.1,0,0
24,Suburban,Industrial/Office/Res Mixed High,24,Industrial/Office/Res Mixed High,20.24,26.49,8.75,11.46,25.46,0.34,0,1.84,1.74,5.08,0,2.41,2.28,6.65,14.98,19.6,35.63,0.42,0.44,8.03,6.5,324.81,2710.24,7430.32,0.58,10.51,8.5,425.06,3546.79,9723.77,60,0.09,1.27,35899.51,0,0.34,0.42,3862.61,3862.61,0,2834.46,4873.06,5054.85,5054.85,0,3709.35,6377.18,8.3,10.86,0.95,0.34,0.15,0.15,0,0.08,0.11,0.42,0,0.04,0.15,0,0.23,0,0,0,0.76,#FBC781,251,199,129,43.17,37.27,80.44,2666.45,565.88,3232.34,4.24,0.4,4.64,29.63,17.1,30.01,16.72,46.73,3.62,1.12,731.15,0,1950.22,22.74,110.43,22.74,0,0,0,0,168.9,2233.48,5196.83,1.57,956.82,0,2552.18,29.75,144.52,29.75,0,0,0,0,221.03,2922.88,6800.9,2.06,3371.8,-47.13,4412.55,-61.68,0,0
25,Suburban,Industrial/Office/Res Mixed Low,25,Industrial/Office/Res Mixed Low,13.96,18.27,5.69,7.44,16.54,0.34,0.22,1.86,1.74,1.69,0.29,2.43,2.28,2.22,5.9,7.72,14.04,0.42,0.41,2.52,2.97,307.83,1047.34,4443.93,0.54,3.29,3.89,402.85,1370.62,5815.6,60,0.09,1.22,35899.51,0,0.34,0.42,5071.58,4184.38,887.2,2834.46,1624.35,6636.99,5475.94,1161.04,3709.35,2125.73,5.44,7.12,0.96,0.34,0.23,0.19,0.04,0.08,0.04,0.42,0,0.04,0.15,0.04,0.19,0,0,0,0.76,#FCDBAE,252,219,174,28.96,18,46.96,1935.13,288.44,2223.57,2.29,0.79,3.08,17.3,11.76,20.9,8.16,29.06,3.84,1.38,243.84,0,815.5,21.55,104.66,21.55,0,0,0,0,160.07,2234.13,2209.8,1.57,319.1,0,1067.22,28.2,136.97,28.2,0,0,0,0,209.48,2923.72,2891.88,2.06,3930.08,1077.92,5143.15,1410.63,0,0
26,Suburban Residential,Suburban Multifamily,26,Suburban Multifamily,47.27,66.62,21.27,29.98,35.56,0.6,0,0,5.92,15.35,0,0,8.34,21.64,0.54,0.76,4.85,0.11,0.33,0.21,0,248.09,741.36,0,0.47,0.3,0,349.69,1044.95,0,90,0.14,0.55,33518.01,0,0.6,0.03,0,0,0,9567.39,14718.84,0,0,0,13485.3,20746.33,20.05,28.26,0.94,0.6,0,0,0,0.25,0.35,0.11,0.08,0.03,0,0,0,0,0,0,0.71,#FECF58,254,207,88,97.52,8.54,106.06,5615.43,237.64,5853.07,3.96,0.24,4.2,39.06,30.96,65.62,4.4,70.03,3.27,8.14,2208.6,0,0,17.37,84.35,17.37,740.52,0,0,0,129.01,0,0,0,3113.04,0,0,24.48,118.9,24.48,1043.77,0,0,0,181.84,0,0,0,5407,573.27,7621.21,808.03,0.21,0.29
27,Suburban Residential,Suburban Mixed Residential,27,Suburban Mixed Residential,28.29,39.87,11.96,16.86,20.32,0.59,0.43,2.21,3.62,5.49,0.6,3.12,5.1,7.74,0.56,0.79,4.61,0.12,0.33,0.23,0,244.15,850.25,0,0.46,0.33,0,344.14,1198.43,0,90,0.14,0.59,33518.01,0,0.59,0.03,6807.55,5081.4,1726.15,5856.61,5267.28,9595.3,7162.28,2433.02,8254.94,7424.27,11.37,16.03,0.95,0.59,0.31,0.24,0.07,0.15,0.12,0.12,0.09,0.03,0,0,0,0,0,0,0.71,#FEE567,254,229,103,58.34,9.22,67.56,3686.6,260.41,3947.01,2.36,1.19,3.55,24.88,20.88,40.99,4.78,45.76,3.6,8.57,790.55,0,0,17.09,83.01,17.09,849.42,0,0,0,126.96,0,0,0,1114.28,0,0,24.09,117.01,24.09,1197.26,0,0,0,178.95,0,0,0,6379.66,630.44,8992.17,888.62,0.23,0.32
28,Suburban Residential,Residential Subdivision,28,Residential Subdivision,12.87,18.14,4.83,6.81,8.63,0.56,0.27,3.89,0,0,0.38,5.49,0,0,0.64,0.9,4.26,0.15,0.31,0.33,0,232.33,1111.57,0,0.44,0.46,0,327.47,1566.76,0,90,0.14,0.72,33518.01,0,0.56,0.03,10439.36,9343.43,1095.93,0,0,14714.36,13169.64,1544.72,0,0,4.68,6.6,0.97,0.56,0.56,0.5,0.06,0,0,0.15,0.12,0.03,0,0,0,0,0,0,0.71,#FEF295,254,242,149,26.24,10.84,37.08,1694.99,314.35,2009.34,1.08,1.85,2.93,13.66,10.63,18.63,5.66,24.29,3.98,8.89,0,0,0,16.26,78.99,16.26,1110.78,0,0,0,120.81,0,0,0,0,0,0,22.92,111.34,22.92,1565.65,0,0,0,170.28,0,0,0,7209.92,801.96,10162.44,1130.37,0.33,0.46
29,Suburban Residential,Large Lot Residential Area,29,Large Lot Residential Area,6.4,8.25,2.4,3.09,3.56,0.67,2.4,0,0,0,3.09,0,0,0,0.44,0.56,4.33,0.1,0.22,0.22,0,164.5,741.08,0,0.28,0.28,0,212.09,955.45,0,20,0.09,0.64,36400,0,0.67,0.02,9698.34,0,9698.34,0,0,12503.84,0,12503.84,0,0,2.33,3,0.97,0.67,0.67,0,0.67,0,0,0.1,0.08,0.02,0,0,0,0,0,0,0.78,#FEF6A9,254,246,169,9.43,7.36,16.79,515.97,212.46,728.43,0.54,1.82,2.37,6.19,3.85,6.2,3.84,10.04,2.67,8.77,0,0,0,11.52,55.93,11.52,740.52,0,0,0,85.54,0,0,0,0,0,0,14.85,72.11,14.85,954.73,0,0,0,110.29,0,0,0,9887.74,538.63,12748.03,694.44,0.22,0.28
30,Rural,Rural Residential,30,Rural Residential,1.06,1.25,0.39,0.46,0.49,0.8,0.39,0,0,0,0.46,0,0,0,0.11,0.13,2.25,0.05,0,0.11,0,0,370.26,0.14,0,0.13,0,0,435.16,0.16,15,0.05,1.18,39241.37,0,0.8,0.01,1414.39,0,1414.39,0,0,1662.31,0,1662.31,0,0,0.38,0.45,0.97,0.8,0.8,0,0.8,0,0,0.05,0.04,0,0,0.01,0,0,0,0,0.85,#EBE07A,235,224,122,1.55,2.53,4.08,84.91,81.46,166.36,0.09,0.22,0.31,1.5,0.88,1.02,1.36,2.38,2.67,12.55,0,0,0,0,0,0,370.26,0,0,0,0,0.14,0,0,0,0,0,0,0,0,435.16,0,0,0,0,0.16,0,0,16711.46,531.98,19640.72,625.23,0.11,0.13
31,Rural,Rural Ranchettes,31,Rural Ranchettes,0.39,0.43,0.15,0.16,0.16,0.92,0.15,0,0,0,0.16,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.16,0,0,0,0,0,0.17,10,0.03,1.08,41645.51,0,0.92,0.01,508.48,0,508.48,0,0,549.09,0,549.09,0,0,0.14,0.15,0.97,0.92,0.92,0,0.92,0,0,0.01,0,0,0,0.01,0,0,0,0,0.93,#DCC156,220,193,86,0.57,0,0.57,31.24,0,31.24,0.03,0.07,0.1,0.21,0.17,0.38,0,0.38,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,19619.88,338.91,21186.65,365.98,0,0
32,Rural,Rural Employment,32,Rural Employment,0.02,0.02,0.01,0.01,0.16,0.05,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0.01,0.89,0,0,0.01,0,0,15.01,0,0,0.01,0,0,16.01,10,0.02,1.07,42143.51,0,0.05,0.89,26,0,26,0,0,27.73,0,27.73,0,0,0.01,0.01,0.98,0.05,0.05,0,0.05,0,0,0.89,0,0,0,0.89,0,0,0,0,0.94,#BCD397,188,211,151,0.03,0,0.03,1.62,0,1.62,0,0.75,0.76,0.01,0.01,0.02,0,0.02,2.67,0,0,0,0,0,0,0,0,0,0,0,0,15.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,16.01,0,0.01,1212.96,32594.35,1293.84,34767.98,0,0
33,Institutional,Campus/ University,33,Campus/ University,63.23,91.84,30.01,43.58,117.63,0.26,0,0,0,30.01,0,0,0,43.58,24.89,36.15,36.15,0.69,3.68,21.21,0,3825.69,12696.77,0,5.34,30.81,0,5556.32,18440.42,0,150,0.09,1.24,35219.54,0,0.26,0.01,0,0,0,0,33155.52,0,0,0,0,48154.11,28.1,40.82,0.94,0,0,0,0,0,0,0.43,0.42,0,0,0,0.01,0.26,0.12,0.13,0.69,#365F91,54,95,145,138.54,207.57,346.11,6629.59,6632.23,13261.83,6.33,0.36,6.69,127.48,70.16,86.1,111.53,197.63,3.06,4.48,4989.62,0,0,110.54,2100.22,110.54,0,9931.68,2578.75,0,821.14,0,0,0,7246.79,0,0,160.54,3050.29,160.54,0,14424.48,3745.3,0,1192.6,0,0,0,580.09,2514.11,842.51,3651.42,16.55,24.04
34,Institutional,Institutional,34,Institutional,3.25,5.2,1.48,2.37,43.85,0.03,0,0.24,0,1.24,0,0.38,0,1.99,114.36,183.06,189.89,0.6,1.14,112.06,1.16,3771.19,60232.97,1251.53,1.82,179.38,1.85,6036.75,96418.25,2003.39,130,0.16,1.58,32439.35,0,0.03,0.19,570.18,570.18,0,0,1308.27,912.71,912.71,0,0,2094.22,1.39,2.23,0.94,0.02,0.02,0.02,0,0,0,0.59,0.4,0.01,0.01,0.03,0.13,0.01,0,0.01,0.62,#538DD5,83,141,213,7.41,1143.22,1150.63,396.27,50465.68,50861.95,4.78,0.2,4.98,423.8,269.06,4.83,688.03,692.86,3.47,6.02,196.24,0,8508.64,225.76,1141.88,225.76,0,0,51575.04,0,1677.05,379.12,872.4,0.37,314.13,0,13620.25,361.38,1827.87,361.38,0,0,82559.02,0,2684.55,606.89,1396.5,0.58,314.19,4073.56,502.95,6520.78,0,0
35,Parks,Parks & Open Space,35,Parks & Open Space,3.34,36.53,2.01,21.95,21.95,0,0,0,0,2.01,0,0,0,21.95,0.12,1.3,1.3,0.09,0.12,0,0,124.39,0,0,1.3,0,0,1359.07,0,0,50,0.03,0,38834.83,0,0,0.09,0,0,0,0,2363.39,0,0,0,0,25822.37,1.88,20.52,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0.09,#7DBD4C,125,189,76,9.36,1.22,10.58,444.54,47.27,491.81,0.29,0.02,0.31,3.9,2.6,5.8,0.7,6.5,3.09,5.88,354.51,0,0,0,0,0,0,0,0,124.39,0,0,0,0,3873.36,0,0,0,0,0,0,0,0,1359.07,0,0,0,0,284.06,14.95,3103.65,163.35,0,0
